algorithm,run_id,step,dataset_name,mean_action_dist,lambda
pbrl,jxgvt0vv,16,antmaze-large-diverse-v2,0.9198720455169678,0.01
pbrl,jxgvt0vv,17,antmaze-large-diverse-v2,0.9230519533157349,0.01
pbrl,jxgvt0vv,18,antmaze-large-diverse-v2,0.95691978931427,0.01
pbrl,jxgvt0vv,19,antmaze-large-diverse-v2,0.9644815921783447,0.01
pbrl,jxgvt0vv,20,antmaze-large-diverse-v2,0.9328978061676025,0.01
pbrl,jxgvt0vv,21,antmaze-large-diverse-v2,0.866248369216919,0.01
pbrl,jxgvt0vv,22,antmaze-large-diverse-v2,0.9714260101318359,0.01
pbrl,jxgvt0vv,23,antmaze-large-diverse-v2,0.9612722992897034,0.01
pbrl,jxgvt0vv,24,antmaze-large-diverse-v2,0.9300045967102051,0.01
pbrl,jxgvt0vv,25,antmaze-large-diverse-v2,0.9981006383895874,0.01
pbrl,jxgvt0vv,26,antmaze-large-diverse-v2,0.9828084707260132,0.01
pbrl,jxgvt0vv,27,antmaze-large-diverse-v2,0.9822756052017212,0.01
pbrl,jxgvt0vv,28,antmaze-large-diverse-v2,0.897689700126648,0.01
pbrl,jxgvt0vv,29,antmaze-large-diverse-v2,0.9132217168807983,0.01
pbrl,jxgvt0vv,30,antmaze-large-diverse-v2,0.9373655319213867,0.01
pbrl,jxgvt0vv,31,antmaze-large-diverse-v2,0.979695200920105,0.01
pbrl,jxgvt0vv,32,antmaze-large-diverse-v2,0.911817193031311,0.01
pbrl,jxgvt0vv,33,antmaze-large-diverse-v2,0.8941317796707153,0.01
pbrl,jxgvt0vv,34,antmaze-large-diverse-v2,0.8872052431106567,0.01
pbrl,jxgvt0vv,35,antmaze-large-diverse-v2,0.8816478848457336,0.01
pbrl,jxgvt0vv,36,antmaze-large-diverse-v2,0.9415499567985535,0.01
pbrl,jxgvt0vv,37,antmaze-large-diverse-v2,0.8931355476379395,0.01
pbrl,jxgvt0vv,38,antmaze-large-diverse-v2,0.8764176368713379,0.01
pbrl,jxgvt0vv,39,antmaze-large-diverse-v2,0.8937051296234131,0.01
pbrl,jxgvt0vv,40,antmaze-large-diverse-v2,0.9933896064758301,0.01
pbrl,jxgvt0vv,41,antmaze-large-diverse-v2,0.9323737621307373,0.01
pbrl,jxgvt0vv,42,antmaze-large-diverse-v2,0.8871190547943115,0.01
pbrl,jxgvt0vv,43,antmaze-large-diverse-v2,0.971798300743103,0.01
pbrl,jxgvt0vv,44,antmaze-large-diverse-v2,0.8631505370140076,0.01
pbrl,jxgvt0vv,45,antmaze-large-diverse-v2,0.9441704154014587,0.01
pbrl,jxgvt0vv,46,antmaze-large-diverse-v2,0.884710431098938,0.01
pbrl,jxgvt0vv,47,antmaze-large-diverse-v2,0.9339609146118164,0.01
pbrl,jxgvt0vv,48,antmaze-large-diverse-v2,0.8895689249038696,0.01
pbrl,jxgvt0vv,49,antmaze-large-diverse-v2,0.9485688805580139,0.01
none,s65sh3d8,0,antmaze-large-diverse-v2,0.8330137133598328,1.0
none,s65sh3d8,1,antmaze-large-diverse-v2,0.5048890113830566,1.0
none,s65sh3d8,2,antmaze-large-diverse-v2,0.48252934217453003,1.0
none,s65sh3d8,3,antmaze-large-diverse-v2,0.5037733316421509,1.0
none,s65sh3d8,4,antmaze-large-diverse-v2,0.5429397821426392,1.0
none,s65sh3d8,5,antmaze-large-diverse-v2,0.5332944989204407,1.0
none,s65sh3d8,6,antmaze-large-diverse-v2,0.48992353677749634,1.0
none,s65sh3d8,7,antmaze-large-diverse-v2,0.47695910930633545,1.0
none,s65sh3d8,8,antmaze-large-diverse-v2,0.4819132685661316,1.0
none,s65sh3d8,9,antmaze-large-diverse-v2,0.47947269678115845,1.0
none,s65sh3d8,10,antmaze-large-diverse-v2,0.4846893846988678,1.0
none,s65sh3d8,11,antmaze-large-diverse-v2,0.5024087429046631,1.0
none,s65sh3d8,12,antmaze-large-diverse-v2,0.5790767073631287,1.0
none,s65sh3d8,13,antmaze-large-diverse-v2,0.5910871028900146,1.0
none,s65sh3d8,14,antmaze-large-diverse-v2,0.5000333786010742,1.0
none,s65sh3d8,15,antmaze-large-diverse-v2,0.5763890743255615,1.0
none,s65sh3d8,16,antmaze-large-diverse-v2,0.5978901386260986,1.0
none,s65sh3d8,17,antmaze-large-diverse-v2,0.5819073915481567,1.0
none,s65sh3d8,18,antmaze-large-diverse-v2,0.597591757774353,1.0
