run_id,run_name,lr,log,seed,gamma,prior,beta_id,dataset,actor_lr,algorithm,batch_size,checkpoint,wandb_team,critic_norm,num_critics,num_updates,pi_operator,wandb_group,action_scale,critic_depth,dataset_name,eval_workers,log_q_values,num_eval_eps,eval_interval,pretrain_loss,wandb_project,checkpoint_dir,dataset_source,reg_lagrangian,shared_targets,awr_temperature,awr_weight_clip,no_entropy_bonus,polyak_step_size,pretrain_updates,actor_lcb_penalty,critic_lagrangian,critic_regularizer,eval_final_episodes,pretrain_lagrangian,ensemble_regularizer,randomized_prior_depth,randomized_prior_scale,critic_regularizer_parameter,step,min_q_bias,q_pred_mean
y52zwm0t,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-15-17,0.0003,1,4,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,1,-42.66318908541754,151.3101348876953
y52zwm0t,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-15-17,0.0003,1,4,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,2,-31.163145647442267,173.98712158203125
y52zwm0t,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-15-17,0.0003,1,4,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,3,-35.56662096373563,182.68228149414062
y52zwm0t,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-15-17,0.0003,1,4,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,4,-13.137449146812173,186.37432861328125
y52zwm0t,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-15-17,0.0003,1,4,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,5,-58.362685360925916,177.97097778320312
y52zwm0t,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-15-17,0.0003,1,4,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,6,-95.35805223101526,182.5484161376953
y52zwm0t,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-15-17,0.0003,1,4,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,7,-108.82899892323454,178.73721313476562
y52zwm0t,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-15-17,0.0003,1,4,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,8,-110.71460669602261,180.47447204589844
y52zwm0t,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-15-17,0.0003,1,4,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,9,-88.87889701797866,176.67276000976562
y52zwm0t,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-15-17,0.0003,1,4,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,10,-71.1427617493934,179.7849578857422
y52zwm0t,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-15-17,0.0003,1,4,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,11,-86.36202637108798,170.74545288085938
y52zwm0t,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-15-17,0.0003,1,4,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,12,-109.86385026349541,182.0976104736328
y52zwm0t,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-15-17,0.0003,1,4,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,13,-89.50168615187285,181.1151580810547
y52zwm0t,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-15-17,0.0003,1,4,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,14,-101.44424720268866,187.74249267578125
y52zwm0t,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-15-17,0.0003,1,4,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,15,-92.10516573356134,193.15560913085938
y52zwm0t,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-15-17,0.0003,1,4,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,16,-76.54628144050423,183.93154907226562
y52zwm0t,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-15-17,0.0003,1,4,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,17,-88.56457143349226,185.22274780273438
y52zwm0t,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-15-17,0.0003,1,4,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,18,-83.69050700000643,201.10107421875
y52zwm0t,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-15-17,0.0003,1,4,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,19,-59.249194725824935,180.74093627929688
nwydukt8,bias_experiments/unified_awac_pen-cloned-v1_2026-02-24_21-15-48,0.0003,1,1,0.99,False,0.01,pen-cloned-v1,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,pen-cloned-v1,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,0,-1717.043008607007,543.7506103515625
nwydukt8,bias_experiments/unified_awac_pen-cloned-v1_2026-02-24_21-15-48,0.0003,1,1,0.99,False,0.01,pen-cloned-v1,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,pen-cloned-v1,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,1,-237.31896806436026,1210.705810546875
nwydukt8,bias_experiments/unified_awac_pen-cloned-v1_2026-02-24_21-15-48,0.0003,1,1,0.99,False,0.01,pen-cloned-v1,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,pen-cloned-v1,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,2,12.428760100014856,1741.2781982421875
nwydukt8,bias_experiments/unified_awac_pen-cloned-v1_2026-02-24_21-15-48,0.0003,1,1,0.99,False,0.01,pen-cloned-v1,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,pen-cloned-v1,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,3,-410.3338665776133,2028.548828125
